招式 	等級 	說明 	結印 	主要使用者
水遁.水牢鮫舞 	S 	先由鬼鮫使出「大爆水衝波」困住敵人，然後鬼鮫與大刀鮫肌合體形成魚人模式向敵人發動進攻。魚人模式下的鬼鮫可以用腮呼吸，可以通過査克拉來感知敵人的方位，敵人只要與鬼鮫近身接觸就會被吸取査克拉，直至被鬼鮫將査克拉吸盡。 		干柿鬼鮫
水遁．瀑布術 	C 	在沒有水的地方製造瀑布。 		大和
水遁．水波手 		利用手放出數道水流。 		大和
水遁．破奔流 		製造出大量水流衝擊對手。 		大和
水遁．千殺水翔 		將周圍的水分變為無數根的針進而攻擊的忍術，向指定方面攻擊之後所有的水針都將會往目標地攻擊，施術者也要注意距離，否則也會被誤傷，能夠單手結印為其特點。 		白
水遁．水天包襲 		類似水遁·水牢術，但是範圍更廣。 		千手扉間
水遁．大瀑布 	A 	利用查克拉將大量的水捲上數十公尺的高空，像瀑布一樣將對手捲入其中的忍術，此忍術的威力可以媲美自然災害，屬於相當危險的忍術，會消耗大量的查克拉。 	寅－丑－申－卯－子－亥－酉－丑－午 	千手扉間、桃地再不斬、旗木卡卡西、大和、藥師兜、長十郎
水遁．水幕帳 		此術發動的水規模不大。在動畫第305集中角都為了防禦鹿丸的起爆符時所使用的水遁忍術。 		角都
水遁．水飴拿原 		將因混入查克拉而變得黏度極高的水大範圍噴出。不慎進入該範圍的敵人將無法移動，如果使查克拉在腳底流動的話就能自由移動，可以有效地縮小敵人的行動範圍。 		神月出雲
水遁．水化術 		讓肉體自由液化的忍術。 		鬼燈水月
水遁．豪水腕 	B 	水遁．水化術的應用，將身體的水分集中至手臂，以讓手部肌肉膨脹並強化。 		鬼燈水月、千手扉間
水遁．水上切 		把查克拉集中在某一部位並將它變成水，滴到地面後施術者周圍的土地被液化，從而達到高速移動（類似溜冰）和把水加壓成刃攻擊敵人。 		《鳴人之死》裡四人組的術。
水遁．水龍鞭 		把水集中在一處，再向四處射出攻擊敵人。 		《鳴人之死》裡四人組的術。
水遁．水襲剛流豪雨 		把水集中並把它變成怪物攻擊目標。 		《鳴人之死》裡四人組的術。
水遁．水替身 		液化身體躲避攻擊。 		《鳴人之死》裡四人組的術。
水遁．邪之口 		把水集中成口的形狀，向敵人攻擊。 		不風
水遁.波亂萬蒸 		將自己的查克拉化作滾滾激流向敵人進攻 		不風
水遁．黑雨 		在該範圍下起黑色的雨，黑雨其實是油，能配合火遁術的攻擊。 		五月雨
水遁．水翔雨 		召集大量的水形成大漩渦，進入漩渦的人淹死。 		
水遁·水利刃 	A 	從口中噴出急速的超高壓細水柱攻擊對手，類似二代火影的水斷波。在與培因戰鬥中，使用此招殺死了培因的隱身變色龍通靈獸，威力極強，殺傷力極高，十分血腥。 		深作仙人
水遁．雲江水沖爆 		喚大量的水攻擊敵人。 	戌－寅－亥－酉－丑－寅－巳 	
水遁．蒸危暴威 		無限爆破忍術，可以一瞬間暴破，只需要利用分身，本身不需要參與戰鬥，利用自己的能力製造出的分身，看起來外面是一個小孩的模樣，裡麵包襄著油和水，可以一下使分身體內加熱蒸發，然後瞬間爆炸，在短時間內又可以變回原來的姿態，又可以瞬間爆炸，同時可以利用分身戰鬥，分身浮現在空中行動，分身速度極快，通過快速的移動發熱使內部的水蒸發，又可以爆炸，說他是無限暴破一點都不為過。 		第二代水影鬼燈幻月
水遁．水喇叭 		從口中吐出喇叭般的水流衝擊波，岩隱村忍者黑土曾用來攻擊藥師兜。 		黑土
水遁．水鐵砲 		鬼燈一族特有的術，為「水化」的應用形，從食指射出一發超壓縮水彈。 		第二代水影鬼燈幻月
水遁．水鏡術 		製造出水鏡，鏡中映照出和對手一樣的人形，並且擁有與本人相同的力量。 		櫓
水遁．步槍水 		在劇場版血獄中用此術幫助龍舌滅火。 		麻呂伊
水遁．水風船 		用油製造出很多泡沫攻擊敵人。 		第二代水影鬼燈幻月
水遁．水彈 		噴出大量的水攻擊敵人。 		霧忍者村的忍者
水遁．水陣柱 		放出（吐出）一道豎起水牆來保護自己或其他目標。可以是一排直線的水壁，也可以是圓筒形的水圍牆，按實際作戰情況發動。 		照美冥
水遁·雨陣 	A 	將水遁查克拉聚集在空中發射出去，速度如子彈一般，威力很強，從天而降的水炮瀑布向四處發射並貫穿攻擊敵人，攻擊範圍會應查克拉量而改變，亦是類似於暴雨的術。 		千手扉間
水遁·水斷波 	S 	從口中猛烈噴出急速的超高壓細水柱並攻擊敵人，威力極強，殺傷力極高，如同利刃一般，其威力和水壓都極其強悍。按實際作戰情況發動，攻擊範圍會應查克拉量而改變。是一種攻擊距離遠、範圍廣；並且威力強勁的水遁忍術。 		千手扉間
水遁·硬渦水刃 	S 	在手中製造水漩渦在手中製造水旋渦並把形態濃縮成水標槍，用力投去，一接觸目標就形成巨大的水龍捲，威力巨大又華麗厲害，攻擊範圍會應查克拉量而改變。 		（PS2火影忍者木葉英雄3原創招式）千手扉間
水遁·水龍咬爆 	S 	從敵人下方製造一攤尖銳的岩石狀水流並將其擊飛致上空，以查克拉在地上製造一個巨大的水漩渦並擴散，水漩渦擴散的同時，從中心連續發射出無數上升的水流急速衝擊敵人，以此進行高速遠程攻擊。速度十分迅速，上升對的水流會聚集成巨大的水龍向下造成致命一擊，瞬間便可將敵人吞噬掉，威力極強，殺傷力極高，按實際作戰情況發動，攻擊範圍會應查克拉量而改變。 		《究極風暴》原創招式。 千手扉間
水遁·水牆 	A 	將水遁查克拉聚集在手上，發射出一道豎起水牆來保護自己或其他目標，可以是一排直線的水壁，也可以是圓筒形的水圍牆，按實際作戰情況發動，攻擊範圍會應查克拉量而改變。 		（PS3火影忍者終極風暴世代）原創招式千手扉間
水遁·水連彈 	A 	如同一碰就飛彈而出的原仙花種子一樣，從扉間手中發射出無數的水炮向四面八方散開，襲擊敵人！而且所有水炮都是由扉間查克拉控制著，要悉數避開並不是容易。除了極富視覺效果之外，威力也很驚人。攻擊範圍會應查克拉量而改變。 		遊戲《究極風暴3》招式。千手扉間
水遁·瞬水 	A 	水環境中使用的瞬身術，可瞬間出現在水域的各個位置與水面滑行。 		千手扉間
水遁·水刃斬 	A 	將敵人拋至上空再打至地面，最後以苦無配合水遁斬殺敵人。 		《究極風暴3》招式。千手扉間
水遁·天泣 		這種術就如同從萬里無雲的時空中降下的雨一樣，是攻擊時出乎意料之外的水針！從口中高速噴出的水針將會命中敵人的要害。 		千手扉間
水遁·水龍捲 		水環境中會使水面出現水旋渦，可將敵人吸入旋渦中。 		劍美澄
水遁·雨霰 		水會將呈現許多泡泡，像下雨與霰彈槍一樣攻擊敵人。 		千乃
水遁·怨雨 		會下雨成水，吸取對方的查克拉。 		雨忍
水遁幻術·霧幻魔牢 		螺貝王外殼打開飄雪，中術者身體會如同被雪覆蓋般無法動彈。 		韓蛇蜘
水遁·霧雨隱身 		會下雨成霧，跟一班的霧隱身之術是差不多的忍術。 		睡蓮
醫療水遁·水蚊 		醫療用水遁忍術。 		雨乃
醫療水遁·水螳螂 		水會以螳螂手的型態，依附在施術者手上。 		雨乃
醫療水遁·水海月 		醫療用水遁忍術。 		雨乃
水遁·王琉華 		木葉科學班開發的科學忍具,所收容的水遁忍術。 		旋渦慕留人
水遁·水鍊 		水會像鐵鍊一樣的型態攻擊。 		屍澄真
水遁·水靈波 		跟水泡彈相似的水遁忍術。 		筧堇
水遁·雷鞭迅 		跟水龍鞭搭配的雷遁忍術。 		冰雨。
水遁·水陣出陣 		將水向上噴，用於救火的水遁忍術。 		木葉忍者。
水遁·水鐵砲二型 		水鐵砲的強化版，必須近距離使用。 		鬼燈水月。
水遁·雨刺鮫 		水會形成小型的鮫鯊雨，然後咬殺敵人。 		干柿鬼鮫
水遁·水衝波 		形成強大的水衝擊。 		千手扉間
水遁·水流陣壁 		使用大量的水流壁的防禦忍術。 		忍者聯軍。 
風遁·斬空波 	D 	利用強大的空氣壓來攻擊對手的忍術，輕鬆將對手的手裏劍擊飛，甚至可以將遠處的對手吹飛。 		薩克·鐙
風遁·斬空極波 	C 	利用空氣壓和超音波將對手一網打盡的絕技，馬上將地面掀起，此術需要消耗大量的查克拉。 		薩克·鐙
風遁·風之刃 	A 	利用查克拉操縱風壓形成利刃，將對手撕裂。 		葉鬼
風遁·鐮鼬 	C 	利用扇子製造大量風壓攻擊對手的忍術，被最大風壓擊中整個人幾乎會散掉。 巳月在慕留人傳中與班長筧堇對戰時以手臂使出。 	巳-辰-酉 	手鞠、巳月
風遁·大鐮鼬 	S 	利用扇子產生極大量風壓攻擊對手，威力極大。 	無 	手鞠
風遁·掛網 	- 	數人利用扇子產生極大量風壓形成網狀大規模攻擊對手。 		手鞠+忍界大戰風遁忍者
風遁·突破 	C 	利用查克拉操縱風，吐出強風攻擊的忍術。 	戌-午-酉 	巳月
風遁·大突破 	C 	利用查克拉操縱風，吐出暴風攻擊的忍術。 	卯 	大蛇丸
風遁·無限砂塵大突破 	- 	利用查克拉操縱風，凝聚生成砂嵐的忍術。 		我愛羅
風遁·練空彈 	A 	吸入大量的空氣，吐出攻擊的忍術，因為內含大量的查克拉，產生極大的壓力，屬於威力極大的招式。 		守鶴
風遁·壓害 	B 	利用強風將一切毀滅，威力就像天災一般。 		角都
風遁·風切 	C 	製造出利刃般旋風攻擊敵人。 		木葉暗部、四天象人
風遁·真空玉 	C 	是段藏所使用，對付剛用完須佐能乎和天照的佐助。 	子－卯－戌 	段藏
風遁·真空波 	B 	段藏使用這招對付佐助和他的新召喚獸鷹。吐出加壓過的風，像子彈一樣攻擊敵人。 	子－卯－戌 	段藏
風遁·真空大玉 	B 	是段藏所使用，真空玉的加強版。 	寅變化印－戌(此處寅變化印為寅印為基礎，但將兩手中指交扣，僅留食指相合) 	段藏
風遁·真空連波 	B 	一次放出多個真空波。 	子－巳－午－戌 	段藏
風遁·烈風掌 	C 	將查克拉變為烈風，能加速手裡劍等武器的飛行速度。 	巳-未-亥-午-酉-雙手合掌 	長門、空、漩渦慕留人
風遁·獸波掌 		「守護忍十二士」和馬的兒子．空所使用的風遁切割忍術。 		空
風遁·獸波烈風掌 		「守護忍十二士」和馬的兒子．空所使用的風遁忍術，由獸波掌和烈風掌所結合的忍術。 		空
風遁·風塵烈波 				大蛇丸
風遁·花散舞 		先前方釋放小型龍捲風，風中夾雜著花瓣，範圍廣，威力一般。 		不風
風遁·神風 		在疾風傳劇場中，是追擊巫女紫苑的四人組所使用的，利用查克拉操縱風球。 		追擊巫女紫苑的四人組
風遁·翠嵐烈風 		操縱自己的忍具進行攻擊的忍術，把忍具旋轉進行切割。 		阿斯瑪
風遁·旋風刃 		是第四代風影自創忍術，將周圍的空氣凝結在手上旋轉而成，形成無形的利刃，其效果十分驚人。 		第四代風影
風遁·迷你隱形螺旋丸 	A 	慕留人將迷你螺旋丸丟出去後，螺旋丸會變隱形，直到螺旋丸打到敵人，螺旋丸才會再次出現且爆發，此招數只有慕留人特異的能力才能釋出。 	不需結印 	漩渦慕留人
風遁·螺旋丸 	A 	第四代火影參照尾獸玉而自創的忍術，將查克拉高速旋轉並在手掌上加壓成球，形態變化的極致。 	不須結印 	漩渦鳴人與第四代火影
風遁·螺旋手裡劍 	S 	鳴人將螺旋丸加入性質變化之後開發出來的忍術，是鳴人在仙人模式或尾獸模式時才能使出的禁術，利用仙人模式或尾獸模式提高查克拉密度，將螺旋手裡劍拋出攻擊，否則會使施術者手臂嚴重創傷，甚至永遠無法凝聚查克拉。命中後查克拉會化成無數細小的風刃可把對手體內所有的經脈系統及細胞擊潰，攻擊次數就連卡卡西的寫輪眼也無法看透。鳴人在培因之戰首次使用完全完成的風遁·螺旋手裏劍，是鳴人最強的忍術。 	無 	漩渦鳴人
風遁·龍捲螺旋丸 	S 	出現於《羈絆》中，擁有比螺旋丸更強的威力。是在颱風外圍製造出龍捲風來增強威力的原理，這是要有超越螺旋丸的形態變化的能力才能施展的忍術。 	無 	漩渦鳴人
風遁·太極螺旋丸 	S 	《失落之塔》出現的忍術，號稱最強的螺旋丸，是由鳴人與第四代火影的螺旋丸結合產生的。 	無 	漩渦鳴人與第四代火影
風遁·迷你螺旋手裡劍 	S 	迷你的螺旋手裡劍，由尾獸狀態的鳴人使出，可切割任何東西。 	無 	漩渦鳴人
風遁·蝦蟆鐵砲 		「三尾出現之篇」自來也親自傳授鳴人的術。以鳴人風屬性查克拉和蝦蟆龍的鐵砲彈組合出來的同步忍術，威力強大到足以摧毀堅固的晶遁結界。施術者的查克拉節奏必須一致，才能發揮術的最大效果。 		漩渦鳴人與蝦蟆龍
風遁·蝦蟆油炎彈 		「三尾出現之篇」鳴人與三尾作戰時自創的同步忍術。利用鳴人的風屬性查克拉配合蝦蟆龍噴出來的油，助長蝦蟆吉火遁忍術的火勢，將目標燒成灰燼。施術者的查克拉節奏必須一致，才能發揮術的最大效果。 		漩渦鳴人與蝦蟆吉
風遁.旋風拳 	B 	將風遁查克拉聚集在手中，然後打出的忍術。 		阿斯瑪、猿飛未來
風遁·氣流亂舞 		「忍界大戰篇」使空氣流動的忍術。 		砂隱村忍者們
風遁·台風一過 		製造出大規模的空氣流動，第四代水影曾經用他來吹走濃霧。 		第四代水影
風遁·空砂防壁 		製造出大範圍的砂壁，作為大規模的防禦型忍術。 		我愛羅
風遁·風塵之術 		吐出一道集中的風塵波進行攻擊。 	午-申-酉 	阿斯瑪 
土遁·岩隱 		匿藏於岩石的隱遁術。 		岩忍、上水流一族、不風
土遁·岩分身 		受到致命傷才會消失，且可能有機會用泥巴封印對手的動作。 		雲忍
土遁·土替身 		泥土化身體躲避攻擊。 		大蛇丸
土遁·土流槍 		從敵人下方的土地上製造尖銳的岩石攻擊敵人。 		大和
土遁·土柱爆 		從地面上爆出一條的直線，一直延伸到目標那裡之後，再爆炸一次，這是屬於追蹤型的土遁。 		岩忍
土遁·裂土轉針 		由一大多堅硬的石塊所組成像針般的姿態，可依施術者的意思自由的移動。 		雲忍
土遁·裂土轉掌 	C 	以掌底攻擊地面，導致天崩地裂。 		岩忍
土遁·土石流 		結完印之後，一拳打在地面上，使地面碎裂成無數的細沙，然後像海潮般的侵蝕敵人。 		雲忍
土遁·土流波 		由一大多堅硬的石塊所組成像河流般的姿態，可依施術者的意思自由的移動。也可以封住對手的雙足。 		雲忍
土遁·土流大河 	B 	可將土地成泥石流沖走敵人。 		第三代火影
土遁·心中斬首 	D 	從地下將對手拉進地底，讓人看到以為被施術者被斬首了。 		旗木卡卡西
土遁·土中映魚 	C 	潛入地底中，出其不意地攻擊。 		篝、朧
土遁秘術·土矛 	B 	可把身體硬化至如鑽石一般堅硬來抵禦敵人的攻擊 		角都
土遁·土陵團子 	B 	利用查克拉在土地下找著一塊巨大的岩石，高舉並投向對方。 		次郎坊
土遁結界·土牢堂無 	B 	利用地面上的土塊形成一個堅牢困住對手，從內部被破壞後會修復，並透過土壁吸下對手的查克拉。 		次郎坊、空(人造人)
土遁·岩柱牢 		在敵人周圍製造土柱禁錮敵人。 		空(人造人)
土遁·土陸歸來 	C 	防禦型土遁術，拉出一塊岩石抵擋物理攻擊。 		次郎坊
土遁·追牙 	B 	利用通靈之術招喚動物，此動物將會在地底追蹤敵人。如果是忍犬的話，會因為強大的嗅覺發揮更大的效果。 	寅－巳－辰－戌 	旗木卡卡西
土遁·大地合掌 		從目標的前後面的地上，各伸出一塊岩石牆，藉使封住目標的行動。 		岩忍
土遁·土流壁 	B 	利用查克拉操縱土壤，可以100%防禦正面的攻擊，罩門為後方。 	辰−末 	第三代火影、旗木卡卡西、自來也
土遁·土流城壁 	B 	使用查克拉讓腳邊的土地大量隆起。 		大和
土遁·萬里土流壁 		由複數的岩忍，共同製造出來，有如萬里長城般高大的土牆。對付第三代雷影時用過。 		岩忍
土遁·土流割 	B 	運用手掌上的查克拉控制龍脈以切斷土地。 		大和
土遁·黃泉沼 	A 	可將平地化成泥沼讓敵人身陷其中不得動彈 	亥—寅 	自來也
土遁·土縛柩 		利用岩石由兩邊向敵人施壓。 		
土遁·蟻地獄 		把對手吸進地下的忍術。 		蜉蝣
土遁·泥法師 		召喚出泥流衝向對手。 		不風
土遁·岩柱槍 		將查克拉凝聚成地刺的形狀，並不斷變大及往上長，刺穿敵人。 		不風
土遁·岩切棍 		從土中抽出尖銳的岩棍當作標槍投擲攻擊敵人。 		不緣
土遁·土落蓋 	B 	召喚野豬形狀的蓋子壓向攻擊目標 		木葉暗部
土遁·土迴廊 		用岩石包圍敵人封殺敵人視野和行動。 		
土遁·土龍彈 	B 	將泥土化作龍形攻擊敵手。 	未－午－辰－寅 	第三代火影
土遁·土石龍 		利用査克拉從大地中將大量的土石形成集一隻有著非常驚人氣勢的龍，向對手撲去。PS：威力據說與「水遁·水龍彈」不相上下。 		岩忍
土遁·有為轉變 		把特定的土地召喚的時空忍術。 		不動
土遁·土龍隱身 	C 	用查克拉讓泥土變為細沙，就能像土龍般在地中挖洞前進。 		地達羅、鳶
土遁·土中潛航 	C 	將施術者週遭的土地化為液狀，可在其中游泳 		干柿鬼鮫
土遁·引爆黏土 		用滲入查克拉的黏土製造炸彈．威力驚人。 		地達羅
土遁·岩屋崩落 	B 	這是在山洞裡才能使用的術，岩石從天花板上掉落，殺傷力極大。 	寅 - 子 - 巳 	火光
土遁·天降黏土 	B 	從天空結界召出大量粘土，把對手淹沒，為一名木葉暗部忍者所使用。 		木葉暗部
土遁·拳岩 		製造出岩石的拳頭，打向目標。 		第三代土影、黑土、赤土
土遁·輕重岩 	B 	把接觸到的東西變輕。 		第三代土影
土遁·超輕重岩 		是「土遁·輕重岩」的強化版，把接觸到的東西變更輕。 		第三代土影
土遁·加重岩 	B 	把接觸到的東西增加重量。 		第三代土影
土遁·超加重岩 		是「土遁·加重岩」的強化版，把接觸到的東西增加重量。 		第三代土影
土遁·剛隸式之術 		製造一個具有人形的岩石人，加強防禦效果，三代土影曾用此招和我愛羅聯手擋下宇智波斑的攻擊。 		第三代土影、赤土
土遁·山土之術 	B 	岩忍者村的忍者黃土的招式，可從地底產生兩座巨山，分由左右壓毀目標，曾用來對付外道魔像。 		黃土、赤土
土遁·開土升掘 		在土壤灌入査克拉,形成一個通道,壓縮裡面的土壤,可形成一座小山丘,並噴出裡面的東西。 		黃土、黑土
土遁·地動核 		在地板灌入査克拉，可以將一部份的地面抬升。 		黃土、第三代土影
雷遁·感激波 		配合使用「水陣壁」同時把水流通電電擊對手。 		懶
雷遁·雷切 	S 	卡卡西獨創忍術。由於卡卡西曾以千鳥斬斷過真正的雷電，因此又稱為雷切。 	丑-卯-申 	旗木卡卡西
雷遁·千鳥 	A 	卡卡西獨創忍術。將查克拉集中於手掌，以達一擊殺敵之效，攻擊力之強足以貫穿人體。 	丑-卯-申 	旗木卡卡西、宇智波佐助、宇智波紗羅妲
雷遁·雷切 雙穿光 	S 	將查克拉集中於雙手上，並造出兩個雷切給予敵人雙重傷害。 		旗木卡卡西
雷遁·雷傳 	A 	卡卡西在第四次忍界大戰時對付鳶時所使用，影分身與本體共同使用的雷切連接，拉出一道極長的雷線再拖向敵人，可以說是雷切的大範圍版本。 		旗木卡卡西
雷遁·雷獸追牙 	C 	卡卡西在對付培因時所使用的招式，將雷切形態變化成雷犬再攻擊對手 		旗木卡卡西
雷遁·紫電 		卡卡西獨創忍術。失去寫輪眼後動態視力下降，卡卡西無法使出雷切，便開發出紫電來彌補。除了能召喚天上的雷電，更能以雷切或者是千鳥流的方式使用，泛用性更廣。 	不需結印 	旗木卡卡西、巳月
雷遁·千鳥流 	C 	將雷系查克拉從全身散發出來，攻擊範圍擴大至四周圍但殺傷力不如千鳥強大，其釋出的雷電足以使人麻痹暈厥。 		宇智波佐助
雷遁·千鳥銳槍 	A 	貫穿一切的雷電長槍，「千鳥刀」伸長的形態變化。 		宇智波佐助
雷遁·千鳥千本 	B 	査克拉箭，這時「千鳥」可變粗或極細的雷之千本。 		宇智波佐助
